,Title,Company,Location,Package,Description,Skills,Min_Experience,Max_Experience
53,Team Lead/Consultant-Data Science,Accenture,"Mumbai, India",Not Specified,"Skill required: Data Science - Machine Learning Designation: Team Lead/Consultant About Accenture Operations Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience",['Analytics and Insights'],7,11
54,"Manager, Data Science",Amazon,Bengaluru / Bangalore,Not Specified,"Job Description : Advertising at Amazon is a fast-growing, multi-billion dollar business. It spans desktop, mobile and connected devices encompasses ads on Amazon and a vast network of hundreds of thousands of third-party publishers and extends acros","['Manager', 'Data Science']",5,8
55,Staff Data & Information Architect,GE Healthcare,"Bengaluru / Bangalore, India",Not Specified,"Job Description Summary In this role you will be responsible for designing, developing, testing and implementing data engineering processes to generate analytical and reporting solutions in One Data Platform (ODP). You will be responsible for analyzi","['Design And Development', 'Leadership', 'Accountability', 'Business', 'data replication', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",5,8
56,"Lead, Data Science",Standard Chartered,India,Not Specified,"About Standard Chartered We are a leading international bank focused on helping people and companies prosper across Asia, Africa and the Middle East. To us, good performance is about much more than turning a profit. It's about showing how you embody","['Lead', 'Data Science']",8,11
57,Data Science Application Lead,Accenture,"India, Hyderabad",Not Specified,"About Accenture: Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Int",['Software Engineering'],8,10
58,Senior Analyst-Data Science,Accenture,"India, Bengaluru / Bangalore",Not Specified,"Skill required: Data Science - Python Programming Language Designation: Senior Analyst About Accenture Operations In today's business environment, growth isn't just about building value-it's fundamental to long-term business survival. So how do orga",['Analytics and Insights'],5,8
59,ACN - Applied Intelligence - GCP - Data Science - 07,Accenture,"India, Gurgaon / Gurugram",Not Specified,"About Accenture: Accenture is a leading global professional services company, providing a broad range of services in strategy and consulting, interactive, technology and operations, with digital capabilities across all of these services. We combine u",['Analytics and Insights'],8,10
60,"Associate Manager , Data Science",Standard Chartered,India,Not Specified,"About Standard Chartered We are a leading international bank focused on helping people and companies prosper across Asia, Africa and the Middle East. To us, good performance is about much more than turning a profit. It's about showing how you embody","['Associate Manager', 'Data Science']",2,5
61,ACN - Applied Intelligence - CC - Data Science (IN) - 10,Accenture,"India, Gurgaon / Gurugram",Not Specified,"About Accenture: Accenture is a leading global professional services company, providing a broad range of services in strategy and consulting, interactive, technology and operations, with digital capabilities across all of these services. We combine u",['Analytics and Insights'],,
62,ACN - Applied Intelligence - Solutions.AI - Data Science - 11,Accenture,"India, Gurgaon / Gurugram",Not Specified,"About Accenture: Accenture is a leading global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries,we offer Strategy and Consulti",['Analytics and Insights'],2,5
63,Data Science Engineer,FactSet Philippines Inc,"India, Hyderabad",Not Specified,"VALUES THAT DEFINE OUR CULTURE We are unified by the spirit of going above and beyond for our clients and each other. We look to foster a globally inclusive culture, enabling our people to be themselves at work and to join in, be heard, contribute,",[],,
64,Data Science Software Development Engineer,Accenture,"India, Hyderabad",Not Specified,"About Accenture: Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Int",['Software Engineering'],4,6
65,Software Engineering Manager,Honeywell,"India, Bengaluru / Bangalore",Not Specified,"Join a team recognized for leadership, innovation and diversity ISC Analytics Manager The ISC Analytics team, is responsible for identifying data and empowering business users with actionable insights to improve Supply Chain operational performance","['Business', 'Results Oriented', 'supply chain improvement', 'Strong Communication Skills', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",12,15
66,"Sr. Data science analyst, TQ for Twitch",Amazon,Bengaluru / Bangalore,Not Specified,"Job Description : Advertising at Amazon is a fast-growing business that spans across desktop, mobile and connected devices encompasses ads on Amazon and a vast network of hundreds of thousands of third party publishers and extends across US, EU and a","['Sr. Data science analyst', 'TQ for Twitch']",7,10
67,Python DS Developer - Chennai,2COMS Consulting Private Limited,Chennai,"4,75,000-9,75,000 INR Per Annum","Exp : 2 to 4 yrs About the role: We are looking for an Analyst / Senior Analyst who works in the analytics domain with a strong python background. Desired Skills, Competencies and Experience: 1-4 years of experience in working in the analyt","['Python Dev', 'Data Science']",0,5
68,"Data Science Manager, Amazon Music Marketing & Growth",Amazon,Bengaluru / Bangalore,Not Specified,"Job Description : Job summary Imagine being a part of an agile team where your ideas reach millions of consumers worldwide. Picture working on cutting-edge consumer-facing products, where every single team member is a critical voice in the decision-m","['Data Science Manager', 'Amazon Music Marketing & Growth']",7,10
69,Data Science Internship in Pune,Maxgen Technologies Private Limited,"Pune, Nagpur",Not Specified,Internship with Experts.,"['Internship', 'Live Projects', 'Bsc', 'Academic Projects', 'B - Tech', 'Bca', 'Msc', 'BE', 'Projects', '', '', '']",,
70,Data science Internship in Mumbai,Maxgen Technologies Private Limited,"Mumbai, Navi Mumbai",Not Specified,Internship with Experts.,"['Internship', 'Live Projects', 'Bsc', 'Academic Projects', 'B - Tech', 'Bca', 'Msc', 'BE', 'Projects', '', '', '', '']",,
71,Staff Software Engineer,GE Healthcare,"Bengaluru / Bangalore, India",Not Specified,"Job Description Summary As Staff Software Engineer for Edison Data Lake, you are responsible for building a compliant, secure and scalable data sharing platform for enabling online data marketplace and search capability to allow clinical and non-clin","['open-cv', 'diversity', 'system software design', 'facilitate', 'Software', 'Mentoring', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",10,13
72,ACN - Applied Intelligence - Solutions.AI - Data Science - 11,Accenture,"India, Gurgaon / Gurugram",Not Specified,"About Accenture: Accenture is a leading global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries,we offer Strategy and Consulti",['Analytics and Insights'],,
73,Data Scientist II,Honeywell,"India, Bengaluru / Bangalore",Not Specified,"Join a team recognized for leadership, innovation and diversity Deliver business value through Right and Fast partnership Who We AreHoneywell is a Fortune 100 company with global sales surpassing $40B and has been one of Fortune's Most Admired Compa","['Big Data Scientist', 'Lead Data Scientist', 'Data Science Analyst', 'Senior Data Scientist', '']",3,6
74,"Sr. Manager, Data Engg. & Science",Amazon,Bengaluru / Bangalore,Not Specified,Job Description : Amazon is investing heavily in building a world class advertising business and we are responsible for defining and delivering a collection of self-service performance advertising products that drive discovery and sales. Our products,"['Sr. Manager', 'Data Engg. & Science']",8,10
75,Sr. Business Analyst-Analytics,Cognizant Technology Solutions India Pvt Ltd,"India, Hyderabad",Not Specified,Not Applicable Qualification: Not Applicable Responsibility: Not Applicable Must Have Skills * Data Science Employee Status : Full Time Employee Shift : Day Job Travel : No Job Posting : N,['Data Science'],5,7
76,Sr. Business Analyst-Analytics,Cognizant Technology Solutions India Pvt Ltd,"India, Hyderabad",Not Specified,Not Applicable Qualification: Not Applicable Responsibility: Not Applicable Must Have Skills * Data Science Employee Status : Full Time Employee Shift : Day Job Travel : No Job Posting : N,['Data Science'],4,7
77,Data Science Engineer,FactSet Philippines Inc,"India, Hyderabad",Not Specified,"VALUES THAT DEFINE OUR CULTURE We are unified by the spirit of going above and beyond for our clients and each other. We look to foster a globally inclusive culture, enabling our people to be themselves at work and to join in, be heard, contribute,",[],,
78,Sr. Manager - Data Science,Genpact,"India, Bengaluru / Bangalore",Not Specified,"With a startup spirit and 90,000+ curious and courageous minds, we have the expertise to go deep with the world&rsquos biggest brands&mdashand we have fun doing it. Now, we&rsquore calling all you rule-breakers and risk-takers who see the world diffe","['Sr. Manager - Data Science', 'Operations']",,
79,"Senior Product Manager, Tech, Prime International",Amazon,Bengaluru / Bangalore,Not Specified,"Job Description : Job summary Amazon Prime delivers the best of Amazon and extraordinary value to the 100+ millions of members around the world - including fast free shipping, video, music, photo and other exclusive benefits. We are looking for an ex","['Technical Product Manager', 'Product Development', 'Product Manager', 'Requirement Analysis', '', '']",6,9
80,Sr. Product Manager,Amazon,Bengaluru / Bangalore,Not Specified,"Job Description : Amazon Pay India's mission is to be India's most convenient rewarding and trusted way to pay. Customers continue to prefer Pay on Delivery as their preferred payment method for Convenience, Trust, Access and Ease of Use. The role ai","['Product Management', 'Program Management', 'Product Marketing', 'Business Development', '', '', '', '']",5,8
81,"Data Engineer II, IN Ads Tech",Amazon,Bengaluru / Bangalore,Not Specified,"Job Description : Job summary . Design, develop, implement, test, and operate large-scale, high-volume, high-performance data structures for analytics and Reporting. . Implement data structures using best practices in data modeling, ETL processes, an","['Data Modeling', 'Etl Process', 'Sql', 'AWS', 'Python', 'Data Structures', 'Data Warehousing', '', '', '']",4,7
82,Python DS Developer - Chennai,2COMS Consulting Private Limited,Chennai,"4,75,000-9,75,000 INR Per Annum","Exp : 2 to 4 yrs About the role: We are looking for an Analyst / Senior Analyst who works in the analytics domain with a strong python background. Desired Skills, Competencies and Experience: 1-4 years of experience in working in the analyt","['Python Dev', 'Data Science']",0,5
83,"Data Scientist, Buyer Abuse Data Science",Amazon,Bengaluru / Bangalore,Not Specified,Job Description : Job summary Amazon Science gives you insight into the company's approach to customer-obsessed scientific innovation. Amazon fundamentally believes that scientific innovation is essential to being the most customer-centric company i,[],4,7
